Name,CDS,source,tRNA,tmRNA,rRNA,misc_binding,regulatory,ncRNA,gene
R50,2935,1,59,1,10,0,10,3,3008
AR465,2935,1,59,1,10,0,10,3,3008
M48,2935,1,59,1,10,0,10,3,3008
V521,2935,1,59,1,10,0,10,3,3008
P10,2935,1,59,1,10,0,10,3,3008
